Ca2+ (nM),rep 1,Ca2+ (nM),rep 2,Ca2+ (nM),rep 3,Ca2+ (nM),rep 4,Ca2+ (nM),rep 5,Ca2+ (nM),rep 6
2,4220,2,5039,2,5991,1,10039,1,5039,1,5991
22,5783,22,6493,22,6938,22,13765,22,6493,22,6938
111,12296,111,12929,111,14852,44,16694,44,12929,44,14852
222,31832,222,31380,222,33189,88,35904,264,155659,264,164714
333,92755,333,80213,333,85737,132,58565,440,279537,440,278064
444,188737,444,155659,444,164714,264,318882,660,321768,660,316392
666,303764,666,279537,666,278064,440,887237,880,354060,880,337365
888,343683,888,321768,888,316392,660,1340874,1320,376024,1320,362152
1110,364750,1110,354060,1110,337365,880,1519950,3960,385419,3960,366889
1665,367717,1665,376024,1665,362152,1320,1601937,34320,401613,34320,394671
2220,389071,2220,385419,2220,366889,3960,1594979,,,,
11098,400757,11098,401613,11098,394671,34320,1506361,,,,