Ca2+ (nM),rep 1,Ca2+ (nM),rep 2,Ca2+ (nM),rep 3,Ca2+ (nM),rep 4,Ca2+ (nM),rep 5,Ca2+ (nM),rep 6,Ca2+ (nM),rep 7,Ca2+ (nM),rep 8
2,39067,2,44272,1,38331,1,43221,1,43128,1,931036,1,1010724,1,1018502
22,42143,22,46866,22,45057,22,48686,22,48456,18,1000882,18,1075664,18,1076100
111,52780,111,58066,44,35245,44,37691,44,40057,36,1070714,36,1133920,36,1131738
222,68707,222,77245,88,43341,88,47439,88,50718,71,1281394,71,1334308,71,1332594
333,94458,333,102074,132,41159,132,44871,132,50561,107,1463412,107,1512305,107,1521435
444,117792,444,125549,264,39339,264,46042,264,52886,214,1723387,214,1766646,214,1777661
666,160012,666,169313,440,53860,440,60960,440,75246,357,2420280,357,2478785,357,2480768
888,162952,888,173880,660,83432,660,83153,660,103543,535,3054591,535,3089295,535,3204226
1110,169414,1110,175348,880,76291,880,87674,880,114532,1071,3835235,1071,3915063,1071,3909581
1665,167501,1665,174122,1320,85306,1320,88609,1320,115558,3212,4269873,3212,4339164,3212,4347913
2220,167465,2220,176520,3960,99634,3960,109725,3960,136551,27835,4319797,27835,4434367,27835,4472074
11098,166366,11098,175879,34320,93659,34320,95920,34320,100631,,,,,,
,,,,,,,,,,,,,,,